observation_id,craft_category,product_family,product_type,product_form,product_name,description,material,secondary_material,craft_technique,region,state,height_cm,width_cm,depth_cm,weight_g,quantity,piece_count,listed_price_inr,mrp_inr,discount_price_inr,price_type,currency,source_name,source_domain,product_url,image_url,seller_name,artisan_or_maker,observed_at,data_origin,group_id,notes,price,has_dimensions,has_weight,surface_area_sqcm
obs_d31579d2821937b4,bastar_dhokra,figurine,tribal_couple,statue,Dhokra Tribal Warrior Couple Statue,,brass,,lost-wax metal casting (Dhokra),,,,,,,1,1,1499.0,1499.0,1499.0,LISTED_PRICE,INR,IndiaHandmade,indiahandmade.com,https://www.indiahandmade.com/buy-dhokra-tribal-warrior-couple-statue-online.html,https://img.indiahandmade.com/catalog/product/cache/4936290bf7682d5a4187df0f27af598f/f/r/freepik__adjust__15695.png,,,2026-08-30,FROZEN_BASELINE_632,grp_bastar_dhokra_tribal_couple_8908a6f8e3,baseline_frozen_observation,1499.0,0,0,
obs_37b4a65cf098e422,bastar_dhokra,figurine,elephant,statue,Dhokra Elephant with Tribal Riders,,brass,,lost-wax metal casting (Dhokra),,,,,,,1,1,5999.0,6999.0,5999.0,LISTED_PRICE,INR,IndiaHandmade,indiahandmade.com,https://www.indiahandmade.com/catalog/product/view/id/22248/s/dhokra-elephant-with-tribal-riders/category/2/,https://img.indiahandmade.com/catalog/product/cache/4936290bf7682d5a4187df0f27af598f/u/n/untitled-design-35.png,,,2026-08-30,FROZEN_BASELINE_632,grp_bastar_dhokra_elephant_eef3fb1dee,baseline_frozen_observation,5999.0,0,0,
obs_e564def28591a76b,bastar_dhokra,figurine,human_figure,statue,Dhokra Craft Couple with Child,,brass,,lost-wax metal casting (Dhokra),,,,,,,1,1,10000.0,12000.0,10000.0,LISTED_PRICE,INR,IndiaHandmade,indiahandmade.com,https://www.indiahandmade.com/catalog/product/view/id/30993/s/dhokra-craft-couple-with-child/category/2/,https://img.indiahandmade.com/catalog/product/cache/4936290bf7682d5a4187df0f27af598f/i/m/img_3363_-_abhinav_srivastava.jpg,,,2026-08-30,FROZEN_BASELINE_632,grp_bastar_dhokra_human_figure_9e601f0582,baseline_frozen_observation,10000.0,0,0,
obs_8d10a652b3317d36,bastar_dhokra,figurine,camel,figurine,Handcrafted Dhokra Craft Sitting Camel Figurine,,brass,,lost-wax metal casting (Dhokra),,,,,,,1,1,1800.0,2000.0,1800.0,LISTED_PRICE,INR,IndiaHandmade,indiahandmade.com,https://www.indiahandmade.com/catalog/product/view/id/23433/s/buy-handcrafted-dhokra-craft-sitting-camel-figurine-online/category/2/,https://img.indiahandmade.com/catalog/product/cache/4936290bf7682d5a4187df0f27af598f/f/r/freepik__assistant__42212.png,,,2026-08-30,FROZEN_BASELINE_632,grp_bastar_dhokra_camel_5b18c87558,baseline_frozen_observation,1800.0,0,0,
obs_31ccad5a44f3b083,bastar_dhokra,lighting,deepak,lamp,Handcrafted Dhokra Golden Brass Deepak,,brass,,lost-wax metal casting (Dhokra),,,,,,,1,1,699.0,699.0,699.0,LISTED_PRICE,INR,IndiaHandmade,indiahandmade.com,https://www.indiahandmade.com/buy-handcrafted-dhokra-golden-brass-deepak-online.html,https://img.indiahandmade.com/catalog/product/cache/4936290bf7682d5a4187df0f27af598f/f/r/freepik__adjust__15694.png,,,2026-08-30,FROZEN_BASELINE_632,grp_bastar_dhokra_deepak_bc664fda27,baseline_frozen_observation,699.0,0,0,
obs_d8a00ef230b26a6e,bastar_dhokra,wall_decor,ganesha,wall_hanging,Handcrafted Dhokra Craft Ganesha Wall Hanging,,brass,,lost-wax metal casting (Dhokra),,,,,,,1,1,2800.0,3000.0,2800.0,LISTED_PRICE,INR,IndiaHandmade,indiahandmade.com,https://www.indiahandmade.com/catalog/product/view/id/23438/s/buy-handcrafted-dhokra-craft-ganesha-wall-hanging-online/category/2/,https://img.indiahandmade.com/catalog/product/cache/4936290bf7682d5a4187df0f27af598f/f/r/freepik__adjust__42210.png,,,2026-08-30,FROZEN_BASELINE_632,grp_bastar_dhokra_ganesha_da31a5b727,baseline_frozen_observation,2800.0,0,0,
obs_e2b78089f19aef09,bastar_dhokra,utility_item,unknown,door_handle,Handcrafted Dhokra Craft Door Handle,,brass,,lost-wax metal casting (Dhokra),,,,,,,1,1,750.0,800.0,750.0,LISTED_PRICE,INR,IndiaHandmade,indiahandmade.com,https://www.indiahandmade.com/catalog/product/view/id/23436/s/buy-handcrafted-dhokra-craft-door-handle-online/category/2/,https://img.indiahandmade.com/catalog/product/cache/4936290bf7682d5a4187df0f27af598f/f/r/freepik__assistant__42211.png,,,2026-08-30,FROZEN_BASELINE_632,grp_bastar_dhokra_unknown_b6341686a0,baseline_frozen_observation,750.0,0,0,
obs_99334ea929736aee,bastar_dhokra,wall_decor,mask,wall_hanging,Dhokra Brass Tribal Goddess Mask Wall Hanging,,brass,,lost-wax metal casting (Dhokra),,,,,,,1,1,2499.0,2499.0,2499.0,LISTED_PRICE,INR,IndiaHandmade,indiahandmade.com,https://www.indiahandmade.com/buy-dhokra-brass-tribal-goddess-mask-wall-hanging-online.html,https://img.indiahandmade.com/catalog/product/cache/4936290bf7682d5a4187df0f27af598f/f/r/freepik__assistant__15692.png,,,2026-08-30,FROZEN_BASELINE_632,grp_bastar_dhokra_mask_f215c83c39,baseline_frozen_observation,2499.0,0,0,
obs_c2c0e1f0b3c8b519,bastar_dhokra,wall_decor,mask,wall_hanging,Dhokra Tribal Brass Mask Wall Hanging,,brass,,lost-wax metal casting (Dhokra),,,,,,,1,1,2499.0,2499.0,2499.0,LISTED_PRICE,INR,IndiaHandmade,indiahandmade.com,https://www.indiahandmade.com/buy-dhokra-tribal-brass-mask-wall-hanging-online.html,https://img.indiahandmade.com/catalog/product/cache/4936290bf7682d5a4187df0f27af598f/f/r/freepik__assistant__15691.png,,,2026-08-30,FROZEN_BASELINE_632,grp_bastar_dhokra_mask_e2260e8f58,baseline_frozen_observation,2499.0,0,0,
obs_d07803067971d57a,bastar_dhokra,decorative_object,deer,set,Handcrafted Dhokra Brass Decorative Deer Set,,brass,,lost-wax metal casting (Dhokra),,,,,,,2,1,2499.0,2499.0,2499.0,LISTED_PRICE,INR,IndiaHandmade,indiahandmade.com,https://www.indiahandmade.com/buy-handcrafted-dhokra-brass-decorative-deer-set-online.html,https://img.indiahandmade.com/catalog/product/cache/4936290bf7682d5a4187df0f27af598f/f/r/freepik__expand__15693.png,,,2026-08-30,FROZEN_BASELINE_632,grp_bastar_dhokra_deer_734fb93260,baseline_frozen_observation,2499.0,0,0,
obs_73d436c1881d2572,bastar_dhokra,wall_decor,boat,wall_hanging,Dhokra Musical Boat Panel Handcrafted Brass Wall Art,,brass,,lost-wax metal casting (Dhokra),,,,,,,1,1,2199.0,2199.0,2199.0,LISTED_PRICE,INR,IndiaHandmade,indiahandmade.com,https://www.indiahandmade.com/catalog/product/view/id/22247/s/dhokra-musical-boat-panel-handcrafted-brass-wall-art/category/2/,https://img.indiahandmade.com/catalog/product/cache/4936290bf7682d5a4187df0f27af598f/u/n/untitled-design-25.png,,,2026-08-30,FROZEN_BASELINE_632,grp_bastar_dhokra_boat_a7a73b5119,baseline_frozen_observation,2199.0,0,0,
obs_334b49ab5ecb013f,bastar_dhokra,idol,durga,statue,Handcrafted Dhokra Maa Durga Idol | GI Certified | 12 Inches,,brass,,lost-wax metal casting (Dhokra),,,30.48,,,,1,1,9775.0,12707.0,9775.0,LISTED_PRICE,INR,IndiaHandmade,indiahandmade.com,https://www.indiahandmade.com/catalog/product/view/id/23525/s/buy-handcrafted-dhokra-maa-durga-idol-12-inches-online/category/2/,https://img.indiahandmade.com/catalog/product/cache/4936290bf7682d5a4187df0f27af598f/f/r/freepik__front-closeup-view-of-the-golden-brass-hindu-showp__10389.png,,,2026-08-30,FROZEN_BASELINE_632,grp_bastar_dhokra_durga_63a4a21e08,baseline_frozen_observation,9775.0,0,0,
obs_8b3ac44d9a3d7e3c,bastar_dhokra,idol,durga,statue,Handcrafted Dhokra Maa Durga Idol | GI Certified | 6 Inches,,brass,,lost-wax metal casting (Dhokra),,,15.24,,,,1,1,2650.0,3180.0,2650.0,LISTED_PRICE,INR,IndiaHandmade,indiahandmade.com,https://www.indiahandmade.com/catalog/product/view/id/23526/s/buy-handcrafted-dhokra-maa-durga-idol-6-inches-online/category/2/,https://img.indiahandmade.com/catalog/product/cache/4936290bf7682d5a4187df0f27af598f/f/r/freepik__front-closeup-studioquality-edit-of-the-provided-b__42555.png,,,2026-08-30,FROZEN_BASELINE_632,grp_bastar_dhokra_durga_63a4a21e08,baseline_frozen_observation,2650.0,0,0,
obs_b9f1e53ce14bd05d,bastar_dhokra,idol,durga,statue,Handcrafted Dhokra Maa Durga Idol | GI Certified | 7 Inches,,brass,,lost-wax metal casting (Dhokra),,,17.78,,,,1,1,3300.0,4290.0,3300.0,LISTED_PRICE,INR,IndiaHandmade,indiahandmade.com,https://www.indiahandmade.com/catalog/product/view/id/23528/s/buy-handcrafted-dhokra-maa-durga-idol-7-inches-online/category/2/,https://img.indiahandmade.com/catalog/product/cache/4936290bf7682d5a4187df0f27af598f/f/r/freepik__frontfacing-closeup-crop-of-the-referenced-brass-s__14418.png,,,2026-08-30,FROZEN_BASELINE_632,grp_bastar_dhokra_durga_63a4a21e08,baseline_frozen_observation,3300.0,0,0,
obs_2f9f2e42ea9dc388,bastar_dhokra,wall_decor,unknown,clock,Handcrafted Wall Clock | Warli & Dhokra Art,,brass,wood,lost-wax metal casting (Dhokra),,,,,,,1,1,3200.0,3200.0,3200.0,LISTED_PRICE,INR,IndiaHandmade,indiahandmade.com,https://www.indiahandmade.com/catalog/product/view/id/3095/s/wall-clock-handcrafted-warli-dhokra-art-red-dial-with-glass-frame/category/2/,https://img.indiahandmade.com/catalog/product/cache/4936290bf7682d5a4187df0f27af598f/f/r/freepik__assistant__39353.png,,,2026-08-30,FROZEN_BASELINE_632,grp_bastar_dhokra_unknown_c1e251ebef,baseline_frozen_observation,3200.0,0,0,
obs_0e78b58f5f2feed2,bastar_dhokra,figurine,human_figure,figurine,Handcrafted Brass Dhokra Tribal Woman Figurine | 7x7x18 cm,,brass,,lost-wax metal casting (Dhokra),,,18.0,7.0,7.0,,1,1,2599.0,2599.0,2599.0,LISTED_PRICE,INR,IndiaHandmade,indiahandmade.com,https://www.indiahandmade.com/catalog/product/view/id/12635/s/buy-handcrafted-brass-dhokra-tribal-woman-figurine-7x7x18-cm/category/2/,https://img.indiahandmade.com/catalog/product/cache/4936290bf7682d5a4187df0f27af598f/f/r/freepik__assistant__41393.png,,,2026-08-30,FROZEN_BASELINE_632,grp_bastar_dhokra_human_figure_feabfbdf67,baseline_frozen_observation,2599.0,1,0,126.0
